project	area	windows_path	git	dockerfile	compose	db_folder	env_files	pkg_manager	last_activity	docker_relationship	duplicate_of	migration_recommendation	notes
my-project	LocalDev	E:\LocalDev\herd\my-project	no	no	no	no	.env, .env.example	composer/php, npm/node	2025-05-05	No Docker relationship		Archive only	Laravel app, composer+npm, no Dockerfile/compose ever found. Dormant since May 2025.
laravelLivewireAdmin	LocalDev	E:\LocalDev\Laravel\laravelLivewireAdmin	yes	yes	yes	no	src/.env, src/.env.example	composer/php, npm/node	2025-10-26	Currently used by Docker		Move to WSL	Most recently active project in the whole audit (commit Oct 2025). 4 stopped containers reference this exact path. DB is a proper named Docker volume (laravellivewireadmin_dbdata) -- easiest of all the DB projects to migrate safely.
myLaravel	LocalDev	E:\LocalDev\Laravel\myLaravel	no	yes	yes	dbdata	src/.env, src/.env.example	composer/php, npm/node	2025-05-03	No Docker relationship (successor copy)	related to lost E:\LocalDevelopments\myLaravel	Archive only (BACKUP FIRST -- has real dbdata)	Not git-tracked. Has its own dbdata (real MySQL files, permission-protected). The OLD Docker containers (mylaravel-db-1 etc.) point to E:\LocalDevelopments\myLaravel which no longer exists -- this E:\LocalDev copy was never actually wired up to those containers. Dormant since May 2025.
myLaravelAPI	LocalDev	E:\LocalDev\Laravel\myLaravelAPI	no	no	no	no	no	none detected		No Docker relationship		Safe to delete after verification	Completely empty directory (0 files).
myLaravelCRUD	LocalDev	E:\LocalDev\Laravel\myLaravelCRUD	no	no	no	no	no	none detected		No Docker relationship		Safe to delete after verification	Completely empty directory (0 files).
myLaravelProject	LocalDev	E:\LocalDev\Laravel\myLaravelProject	no	no	no	no	no	none detected		No Docker relationship		Safe to delete after verification	Completely empty directory (0 files).
myLaravelReact	LocalDev	E:\LocalDev\Laravel\myLaravelReact	no	yes	yes	dbdata	src/.env, src/.env.example	composer/php, npm/node	2025-05-04	No Docker relationship (successor copy)	related to lost E:\LocalDevelopments\myLaravelReact	Archive only (BACKUP FIRST -- has real dbdata)	Same pattern as myLaravel: has its own dbdata, but old containers point to the now-deleted E:\LocalDevelopments copy. Dormant since May 2025.
myLaravelReactNew	LocalDev	E:\LocalDev\Laravel\myLaravelReactNew	yes	yes	yes	dbdata	src/.env, src/.env.example	composer/php, npm/node	2025-05-05	No Docker relationship (successor copy)	related to lost E:\LocalDevelopments\myLaravelReactNew	Archive only (BACKUP FIRST -- has real dbdata)	git repo present but nested inside src/ subfolder, not project root. Has its own dbdata. Old containers point to now-deleted E:\LocalDevelopments copy. Dormant since May 2025.
quizGame	LocalDev	E:\LocalDev\Laravel\quizGame	no	yes	yes	dbdata	src/.env, src/.env.example	composer/php, npm/node	2025-05-16	No Docker relationship (successor copy)	related to lost E:\LocalDevelopments\Laravel\quizGame	Archive only (BACKUP FIRST -- has real dbdata)	Same pattern: has its own dbdata; old containers (quizgame-db-1 etc.) point to now-deleted E:\LocalDevelopments copy. Dormant since May 2025.
quizGameVfour	LocalDev	E:\LocalDev\Laravel\quizGameVfour	yes	yes	yes	no	.env.docker, src/.env, src/.env.example	composer/php, npm/node	2025-06-13	Currently used by Docker	newer than quizGameVfour-1 and -2	Move to WSL	Matches compose project 'quizgamevfour' exactly (4 stopped containers). Most recent commit of the three quizGameVfour copies (Jun 13 2025).
quizGameVfour	LocalDev	E:\LocalDev\Laravel\quizGameVfour-1\quizGameVfour	yes	yes	yes	no	.env.docker, src/.env, src/.env.example	composer/php, npm/node	2025-06-02	Duplicate of another project	Laravel/quizGameVfour	Safe to delete after verification	Identical file count (449) and identical last-commit date (2025-06-02) to quizGameVfour-2 -- these two are snapshot duplicates of each other, both older than the main quizGameVfour copy. Confirm with a real diff before deleting.
quizGameVfour	LocalDev	E:\LocalDev\Laravel\quizGameVfour-2\quizGameVfour	yes	yes	yes	no	.env.docker, src/.env, src/.env.example	composer/php, npm/node	2025-06-02	Duplicate of another project	Laravel/quizGameVfour and quizGameVfour-1	Safe to delete after verification	Identical file count (449) and identical last-commit date (2025-06-02) to quizGameVfour-1 -- these two are snapshot duplicates of each other, both older than the main quizGameVfour copy. Confirm with a real diff before deleting.
quizGameVthree	LocalDev	E:\LocalDev\Laravel\quizGameVthree	no	yes	yes	no	.env.docker, src/.env, src/.env.example	composer/php, npm/node	2025-05-18	Previously used by Docker		Archive only	No git. Docker image 'quizgamevthree-app' still exists in Docker (0 containers, no compose project tracked) -- this directory is where that image was originally built from. Dormant since May 2025.
quizGameVtwo	LocalDev	E:\LocalDev\Laravel\quizGameVtwo	yes	yes	yes	no	.env.docker, src/.env, src/.env.example	composer/php, npm/node	2025-05-18	Currently used by Docker (1 container RUNNING)		Move to WSL	Matches compose project 'quizgamevtwo' exactly. quiz-phpmyadmin container is running right now against this path.
multi-container-app	LocalDev	E:\LocalDev\multi-container-app	yes	yes	yes	no	no	npm/node	2024-04-11	No Docker relationship		Archive only	Has its own compose.yaml + Dockerfile but zero trace in current Docker resources (no matching image/container/network found anywhere). Tiny (14 files), looks like an old tutorial/sample project. Last commit Apr 2024 -- long dormant.
Oxin game	LocalDev	E:\LocalDev\Oxin game	no	no	no	no	no	none detected	2025-05-02	No Docker relationship		Archive only	Not a software project -- a SQL dump, an old rar archive, and marketing/page screenshots. No git, no Dockerfile.
ozCarLab	LocalDev	E:\LocalDev\ozCarLab	yes	yes	yes	pg_data	src/ozcar/config/.env.example, src/ozhub_repo/config/.env.example	composer/php, npm/node	2025-02-13	Currently used by Docker		Move to WSL (BACKUP FIRST -- large, ~6GB+ live DB)	Matches compose project 'ozcarlab' exactly (top-level docker-compose.yml is the one Docker actually uses). Contains a 9.38GB ozcar.pg_dump and a 4.25GB ozcar_backup.sql already sitting on disk (Feb 6 2025) -- real backups exist, but they are ~17 months old relative to the live pg_data; take a fresh backup before any migration. pg_data itself is permission-protected (owned by uid 999/postgres) -- confirmed non-empty and real, not measurable in size via this read-only pass.
ozoffroad	LocalDev	E:\LocalDev\ozoffroad	yes	no	no	no	config/.env.example	composer/php	2023-09-27	No Docker relationship		Archive only	git-tracked CakePHP project, but no Dockerfile/compose ever found and no matching Docker resource anywhere. Last commit Sep 2023 -- long dormant (~2.5+ years).
backups	LocalDev	E:\LocalDev\React\backups	no	no	no	no	no	none detected	2025-05-03	Archived only	matches the 'login' project family	Archive only	29 versioned .rar backups of the 'login' project (w1 through w17 plus sub-variants), Feb-May 2025 -- clearly the incremental backup trail for what became E:\LocalDev\React\login's git history. Not a live project itself.
login	LocalDev	E:\LocalDev\React\login	yes	yes	yes	db_data	backend/.env, backend/.env.docker, backend/.env.production, frontend/.env	composer/php, npm/node	2025-03-31	Previously used by Docker	related to LocalDevelopments/React/login and React/react-login	Move to WSL -- see consolidation note	MOST IMPORTANT FINDING IN THIS AREA: this is the newest, actively developed, git-tracked copy (remote github.com/masoodbarzegar/react-auth, latest commit Mar 31 2025 'Implement frontend JWT authentication'). It has its own db_data (real, permission-protected). But the CURRENTLY RUNNING Docker container (mysql_db) is bind-mounted to a DIFFERENT, older copy at E:\LocalDevelopments\React\login, whose backend/frontend source is already deleted. The running container may be serving stale, pre-JWT code while this newer copy sits unused. Recommend deciding which copy is authoritative before consolidating into WSL.
react-app	LocalDev	E:\LocalDev\React\react-app	no	yes	yes	no	no	npm/node	unclear (dir mtime 2025-01-01, likely a copy artifact not real activity)	No Docker relationship		Archive only	Has its own docker-compose.yml + Dockerfile but zero trace in current Docker resources. No git. Plain CRA app.
react-login	LocalDev	E:\LocalDev\React\react-login	no	yes	yes	db_data	no	npm/node	2025-01-14	Duplicate of another project	LocalDevelopments/React/login (original) and, less closely, LocalDev/React/login	Safe to delete after verification	No git. Compose file uses the exact same container_names (php_backend, react_frontend, mysql_db) as the original login project -- this is a manual snapshot/backup copy of the old setup, not independent work. Has its own db_data.
